word,freq
game,227
outcom,185
payoff,145
player,131
strategi,105
nash~equilibrium,94
will,91
peopl,86
can,70
rule,69
cooper,67
coordin,65
interact,61
farmer,60
chang,58
play,57
exampl,56
econom,53
best~respons,51
get,50
equilibrium,49
action,47
group,47
effect,46
predict,46
institut,45
palanpur,45
also,44
better,42
coordin~problem,42
posit,41
result,40
plant~earli,40
person,39
know,38
mani,38
possibl,35
fish~hour,35
common,34
extern,34
neighbor,33
domin~strategi,33
segreg,32
hour~hour,32
inform,31
plant~late,31
pareto~effici,30
prison~dilemma,30
case,29
prefer,29
social,29
neighborhood,29
nash,28
dilemma,28
way,28
equilibria,28
defect,28
switch,28
conflict,27
mean,27
set,27
paretoeffici,27
best,26
explain,26
agreement,26
reason,26
strateg,26
concept,26
pareto,25
agre,25
time,25
interest,25
might,25
matrix,25
plant,24
challeng,24
depend,24
rent,24
problem,23
theori,23
take,23
show,23
differ,23
alloc,23
liabil,23
wors,22
anoth,22
circl,22
assur,22
need,21
now,21
hand,21
checkpoint,21
profil,21
immedi,20
implement,20
situat,20
mutual,20
consid,20
whether,20
benefit,20
individu,19
even,19
illustr,19
often,18
failur,18
invis,18
particip,18
model,18
altern,18
citizen,18
decid,17
work,17
solut,17
cost,17
requir,17
account,16
address,16
limit,16
govern,16
share,16
occur,16
think,16
enforc,16
indic,16
catch,16
step,16
dissatisfi,16
first,15
poverti,15
joint,15
valu,15
choos,15
find,15
adopt,15
panel,15
fallback,15
communiti,15
act,14
choic,14
improv,14
good,14
say,14
drive,14
includ,14
list,14
law,14
languag,14
disagr,14
corn,14
